medicineID,medicineName,genericName,company,disease,currentStock,currentPrice,location,supplier,criticalThreshold,averageMarketPrice,dailyConsumption,stockHistory,priceHistory,supplierDelay,lastUpdatedAt,description
MID011,Pantop,Pantoprazole,Cipla,Acidity,70,95.00,Mumbai,Gastric Meds,40,90.00,5,"[80,78,75,72,70]","[90.00,91.00,92.00,93.00,95.00]",false,"2025-07-18T22:45:00.000Z","Supplier production delays impacting stock."
MID012,Cifran,Ciprofloxacin,Ranbaxy,Bacterial Infection,110,110.00,Delhi,Infection Control,60,108.00,7,"[120,118,115,112,110]","[108.00,108.50,109.00,109.50,110.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID013,Vertin,Betahistine,Sun Pharma,Vertigo,60,130.00,Bangalore,Neuro Pharma,30,128.00,4,"[70,68,65,62,60]","[128.00,128.50,129.00,129.50,130.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID014,Duolin,Levosalbutamol/Ipratropium,Cipla,Asthma,100,160.00,Chennai,Respiratory Care,50,155.00,6,"[110,108,105,102,100]","[155.00,156.00,157.00,158.00,160.00]",false,"2025-07-18T22:45:00.000Z","Logistics issues causing delivery delays."
MID015,Gabapentin,Gabapentin,Torrent Pharma,Neuropathic Pain,140,180.00,Kolkata,Pain Relief,80,175.00,9,"[150,148,145,142,140]","[175.00,176.00,177.00,178.00,180.00]",false,"2025-07-18T22:45:00.000Z","Increased patient demand for pain management."
MID016,Rosuvastatin,Rosuvastatin,Sun Pharma,Cholesterol,130,210.00,Mumbai,Cardio Meds,70,205.00,10,"[140,138,135,132,130]","[205.00,206.00,207.00,208.00,210.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID017,Telmisartan,Telmisartan,Cipla,Hypertension,160,80.00,Delhi,BP Control,90,78.00,12,"[170,168,165,162,160]","[78.00,78.50,79.00,79.50,80.00]",false,"2025-07-18T22:45:00.000Z","Unexpected raw material shortage from primary supplier."
MID018,Metoprolol,Metoprolol,Abbott,Hypertension,190,90.00,Bangalore,Heartbeat Pharma,110,88.00,15,"[200,198,195,192,190]","[88.00,88.50,89.00,89.50,90.00]",false,"2025-07-18T22:45:00.000Z","Increased prescription rates for chronic conditions."
MID019,Dolo 650,Paracetamol,Micro Labs,Fever & Pain,450,25.00,Chennai,Health Essentials,250,24.00,40,"[500,480,470,460,450]","[24.00,24.20,24.50,24.80,25.00]",false,"2025-07-18T22:45:00.000Z","Seasonal flu outbreak causing high demand."
MID020,Azithromycin,Azithromycin,Cipla,Bacterial Infection,100,170.00,Kolkata,Antibiotic Supply,50,165.00,8,"[110,108,105,102,100]","[165.00,166.00,167.00,168.00,170.00]",false,"2025-07-18T22:45:00.000Z","Manufacturing issues at the production facility."
MID021,Levothyroxine,Levothyroxine,Abbott,Thyroid,220,130.00,Mumbai,Thyroid Care,130,128.00,18,"[250,240,230,225,220]","[128.00,128.50,129.00,129.50,130.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID022,Cough Syrup,Dextromethorphan,GSK,Cough & Cold,350,60.00,Delhi,Cold Remedies,200,58.00,30,"[400,380,370,360,350]","[58.00,58.50,59.00,59.50,60.00]",false,"2025-07-18T22:45:00.000Z","Sudden spike in cold and flu cases."
MID023,Omez,Omeprazole,Dr. Reddy's Lab,Acidity,1500,95.00,Bangalore,Western Meds,1000,90.00,250,"[2500,2200,2000,1800,1500]","[90.00,91.00,92.00,93.00,95.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID024,Rantac,Ranitidine,JB Chemicals,Acidity,1800,25.00,Chennai,Gujarat Pharma,1200,24.00,300,"[3000,2800,2500,2200,1800]","[24.00,24.20,24.50,24.80,25.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
MID025,Montair,Montelukast,Cipla,Asthma,250,210.00,Kolkata,Rajputana Health,150,205.00,30,"[400,350,320,280,250]","[205.00,206.00,208.00,209.00,210.00]",false,"2025-07-18T22:45:00.000Z","Normal stock levels."
